programme,gender,world_region,cats_or_dogs,rock_paper_scissors_round_1,rock_paper_scissors_round_2,rock_paper_scissors_round_3,vacation_style,modelling_uncertainty_or_data,shares_apartment
Civil Engineering,Female,Europe,Cats,Paper,Scissors,Rock,Sport holiday,*Incoherent Screaming*,I live alone
"Earth, Climate, and Technology",Male,Europe,Dogs,Rock,Paper,Rock,Mountain hike,*Incoherent Screaming*,I live with others
"Earth, Climate, and Technology",Female,Europe,Both?,Scissors,Rock,Paper,Nature park,*Incoherent Screaming*,I live with others
Civil Engineering,Male,Europe,Dogs,Scissors,Scissors,Scissors,City trip,Modelling,I live with others
Civil Engineering,Male,Europe,Dogs,Rock,Rock,Rock,Beach holiday,Modelling,I live with others
Environmental Engineering,Male,Europe,Cats,Rock,Rock,Rock,City trip,Uncertainty,I live with others
Civil Engineering,Male,Asia,Cats,Scissors,Scissors,Scissors,Beach holiday,Data,I live with others
Environmental Engineering,Male,Europe,Cats,Rock,Paper,Scissors,City trip,*Incoherent Screaming*,I live with others
Civil Engineering,Male,Asia,Cats,Rock,Rock,Rock,Road trip,Modelling,I live with others
Civil Engineering,Male,Europe,Cats,Paper,Paper,Scissors,Road trip,Data,I live with others
Environmental Engineering,Male,Asia,Cats,Rock,Paper,Rock,Beach holiday,*Incoherent Screaming*,I live with others
Civil Engineering,Male,Americas,Dogs,Rock,Scissors,Scissors,Antarctica cruise,Modelling,I live with others
Civil Engineering,Male,Europe,Cats,Paper,Scissors,Scissors,Beach holiday,Data,I live with others
Civil Engineering,Male,Europe,Dogs,Rock,Rock,Rock,Antarctica cruise,Data,I live with others
Civil Engineering,Male,Europe,Neither! >:(,Rock,Rock,Paper,Mountain hike,Data,I live with others
"Earth, Climate, and Technology",Male,Asia,Neither! >:(,Rock,Rock,Rock,Antarctica cruise,*Incoherent Screaming*,I live alone
Civil Engineering,Female,Europe,Cats,Rock,Scissors,Scissors,Road trip,*Incoherent Screaming*,
Civil Engineering,Male,Europe,Dogs,Rock,Rock,Rock,Mountain hike,*Incoherent Screaming*,I live with others
Civil Engineering,Male,Europe,Both?,Scissors,Rock,Paper,Road trip,*Incoherent Screaming*,I live alone
Environmental Engineering,Female,Asia,Both?,Scissors,Paper,Rock,City trip,*Incoherent Screaming*,I live with others
Civil Engineering,Female,Europe,Both?,Scissors,Rock,Scissors,Beach holiday,*Incoherent Screaming*,I live with others
Environmental Engineering,Male,Americas,Both?,Scissors,Rock,Paper,Sport holiday,*Incoherent Screaming*,I live with others
Civil Engineering,Male,Europe,Neither! >:(,Paper,Rock,Scissors,Road trip,*Incoherent Screaming*,I live with others
Civil Engineering,Male,Europe,Dogs,Paper,Scissors,Rock,City trip,Modelling,I live with others
Civil Engineering,Male,Asia,Dogs,Paper,Rock,Scissors,Beach holiday,*Incoherent Screaming*,I live with others
Civil Engineering,Male,Europe,Dogs,Rock,Rock,Rock,Antarctica cruise,*Incoherent Screaming*,I live with others
Civil Engineering,Male,Europe,Dogs,Rock,Scissors,Rock,Road trip,Uncertainty,I live alone
"Earth, Climate, and Technology",Male,Europe,Cats,Rock,Rock,Rock,Road trip,Data,I live with others
Civil Engineering,Male,Europe,Dogs,Rock,Rock,Rock,Road trip,Data,I live with others
Civil Engineering,Male,Europe,Dogs,Rock,Rock,Paper,Beach holiday,*Incoherent Screaming*,I live with others
Environmental Engineering,Male,Europe,Both?,Rock,Rock,Rock,Nature park,Modelling,I live with others
"Earth, Climate, and Technology",Male,Europe,Cats,Rock,Paper,Rock,City trip,Uncertainty,
Civil Engineering,Male,Europe,Both?,Rock,Rock,Rock,Beach holiday,Modelling,I live with others
Civil Engineering,Male,Europe,Cats,Rock,Rock,Rock,Road trip,Modelling,I live with others
Civil Engineering,Male,Europe,Dogs,Rock,Scissors,Rock,Mountain hike,Modelling,I live with others
Civil Engineering,Male,Europe,Cats,Paper,Paper,Paper,Mountain hike,Modelling,I live with others
Civil Engineering,Male,Europe,Cats,Paper,Paper,Paper,Mountain hike,Uncertainty,I live with others
Civil Engineering,Male,Europe,Both?,Scissors,Paper,Paper,Road trip,*Incoherent Screaming*,I live with others
Civil Engineering,Male,Europe,Cats,Scissors,Rock,Rock,Mountain hike,*Incoherent Screaming*,I live with others
Civil Engineering,Male,Europe,Cats,Scissors,Scissors,Scissors,City trip,Data,I live with others
Civil Engineering,Female,Americas,Cats,Scissors,Rock,Rock,Beach holiday,Modelling,I live with others
Civil Engineering,Female,Europe,Both?,Rock,Rock,Rock,Mountain hike,*Incoherent Screaming*,I live with others
Civil Engineering,Male,Europe,Dogs,Rock,Rock,Rock,Road trip,*Incoherent Screaming*,I live with others
"Earth, Climate, and Technology",Female,Europe,Neither! >:(,Rock,Rock,Rock,Mountain hike,*Incoherent Screaming*,I live alone
Civil Engineering,Female,Americas,Cats,Scissors,Rock,Rock,City trip,Data,I live with others
"Earth, Climate, and Technology",Male,Europe,Both?,Rock,Rock,Scissors,Nature park,*Incoherent Screaming*,I live with others
Civil Engineering,Female,Europe,Both?,Rock,Scissors,Paper,Beach holiday,*Incoherent Screaming*,I live alone
Civil Engineering,Female,Europe,Dogs,Paper,Paper,Paper,Road trip,Uncertainty,I live with others
Civil Engineering,Male,Europe,Cats,Paper,Paper,Paper,Sport holiday,*Incoherent Screaming*,I live with others
Civil Engineering,Male,Europe,Neither! >:(,Scissors,Paper,Paper,Nature park,*Incoherent Screaming*,I live with others
Civil Engineering,Female,Europe,Both?,Scissors,Scissors,Rock,Mountain hike,*Incoherent Screaming*,I live with others
